01:58:05 GMT-0500 (GMT-05:00)2020-8-21 | DEBUG| Procesar request obtenerDatosArchivo | data:{"key":"code","requests":5,"timeUs":6836057.102,"meanTimeUs":"1367211.420","rps":1} | 
01:58:46 GMT-0500 (GMT-05:00)2020-8-21 | DEBUG| Procesar request mostrarClientesTotales | data:{"key":"code","requests":6,"timeUs":7837036.102,"meanTimeUs":"1306172.684","rps":1} | 
02:06:24 GMT-0500 (GMT-05:00)2020-8-21 | DEBUG| Procesar request mostrarTemplateAdministrador | data:{"key":"code","requests":7,"timeUs":8905552.102,"meanTimeUs":"1272221.729","rps":1} | 
02:07:22 GMT-0500 (GMT-05:00)2020-8-21 | DEBUG| Procesar request mostrarTemplateAdministrador | data:{"key":"code","requests":8,"timeUs":10022445.602,"meanTimeUs":"1252805.700","rps":1} | 
02:08:11 GMT-0500 (GMT-05:00)2020-8-21 | DEBUG| Procesar request mostrarTemplateAdministrador | data:{"key":"code","requests":9,"timeUs":11106154.300999999,"meanTimeUs":"1234017.145","rps":1} | 
02:09:16 GMT-0500 (GMT-05:00)2020-8-21 | DEBUG| Procesar request mostrarTemplateAdministrador | data:{"key":"code","requests":10,"timeUs":12194553.1,"meanTimeUs":"1219455.310","rps":1} | 
02:10:35 GMT-0500 (GMT-05:00)2020-8-21 | DEBUG| Procesar request mostrarTemplateAdministrador | data:{"key":"code","requests":11,"timeUs":13281527.1,"meanTimeUs":"1207411.555","rps":1} | 
02:12:24 GMT-0500 (GMT-05:00)2020-8-21 | DEBUG| Procesar request mostrarTemplateAdministrador | data:{"key":"code","requests":12,"timeUs":14378391.5,"meanTimeUs":"1198199.292","rps":1} | 
02:20:21 GMT-0500 (GMT-05:00)2020-8-21 | INFO| Servidor Corriendo en el puuerto 4000 | data:{"success":true} | 
02:20:22 GMT-0500 (GMT-05:00)2020-8-21 | INFO| Database Conextada | data:{"success":true} | 
02:21:43 GMT-0500 (GMT-05:00)2020-8-21 | INFO| Servidor Corriendo en el puuerto 4000 | data:{"success":true} | 
02:21:44 GMT-0500 (GMT-05:00)2020-8-21 | INFO| Database Conextada | data:{"success":true} | 
02:21:58 GMT-0500 (GMT-05:00)2020-8-21 | INFO| Servidor Corriendo en el puuerto 4000 | data:{"success":true} | 
02:21:59 GMT-0500 (GMT-05:00)2020-8-21 | INFO| Database Conextada | data:{"success":true} | 
02:22:15 GMT-0500 (GMT-05:00)2020-8-21 | DEBUG| Procesar request mostrarTemplateAdministrador | data:{"key":"code","requests":1,"timeUs":1085141.4,"meanTimeUs":"1085141.400","rps":1} | 
02:23:06 GMT-0500 (GMT-05:00)2020-8-21 | INFO| Servidor Corriendo en el puuerto 4000 | data:{"success":true} | 
02:23:07 GMT-0500 (GMT-05:00)2020-8-21 | INFO| Database Conextada | data:{"success":true} | 
02:23:10 GMT-0500 (GMT-05:00)2020-8-21 | DEBUG| Procesar request mostrarTemplateAdministrador | data:{"key":"code","requests":1,"timeUs":1129156.3,"meanTimeUs":"1129156.300","rps":1} | 
02:39:50 GMT-0500 (GMT-05:00)2020-8-21 | INFO| Servidor Corriendo en el puuerto 4000 | data:{"success":true} | 
02:39:51 GMT-0500 (GMT-05:00)2020-8-21 | INFO| Database Conextada | data:{"success":true} | 
02:40:48 GMT-0500 (GMT-05:00)2020-8-21 | INFO| Servidor Corriendo en el puuerto 4000 | data:{"success":true} | 
02:40:49 GMT-0500 (GMT-05:00)2020-8-21 | INFO| Database Conextada | data:{"success":true} | 
02:40:54 GMT-0500 (GMT-05:00)2020-8-21 | INFO| Servidor Corriendo en el puuerto 4000 | data:{"success":true} | 
02:40:55 GMT-0500 (GMT-05:00)2020-8-21 | INFO| Database Conextada | data:{"success":true} | 
02:41:52 GMT-0500 (GMT-05:00)2020-8-21 | INFO| Servidor Corriendo en el puuerto 4000 | data:{"success":true} | 
02:41:53 GMT-0500 (GMT-05:00)2020-8-21 | INFO| Database Conextada | data:{"success":true} | 
02:41:55 GMT-0500 (GMT-05:00)2020-8-21 | DEBUG| Procesar request mostrarTemplateAdministrador | data:{"key":"code","requests":1,"timeUs":1130828,"meanTimeUs":"1130828.000","rps":1} | 
02:42:05 GMT-0500 (GMT-05:00)2020-8-21 | DEBUG| Procesar request mostrarTemplateAdministrador | data:{"key":"code","requests":2,"timeUs":2210197.801,"meanTimeUs":"1105098.900","rps":1} | 
02:45:45 GMT-0500 (GMT-05:00)2020-8-21 | DEBUG| Procesar request mostrarTemplateAdministrador | data:{"key":"code","requests":3,"timeUs":3319493.8,"meanTimeUs":"1106497.933","rps":1} | 
16:19:20 GMT-0500 (GMT-05:00)2020-8-21 | ERROR| Error al cargar un recurso | data:{"status":404,"error":{"message":"Not found"}} | 
16:19:21 GMT-0500 (GMT-05:00)2020-8-21 | ERROR| Error al cargar un recurso | data:{"status":404,"error":{"message":"Not found"}} | 
16:19:21 GMT-0500 (GMT-05:00)2020-8-21 | ERROR| Error al cargar un recurso | data:{"status":404,"error":{"message":"Not found"}} | 
16:19:21 GMT-0500 (GMT-05:00)2020-8-21 | ERROR| Error al cargar un recurso | data:{"status":404,"error":{"message":"Not found"}} | 
16:19:21 GMT-0500 (GMT-05:00)2020-8-21 | ERROR| Error al cargar un recurso | data:{"status":404,"error":{"message":"Not found"}} | 
16:23:05 GMT-0500 (GMT-05:00)2020-8-21 | ERROR| Error al cargar un recurso | data:{"status":404,"error":{"message":"Not found"}} | 
16:23:06 GMT-0500 (GMT-05:00)2020-8-21 | ERROR| Error al cargar un recurso | data:{"status":404,"error":{"message":"Not found"}} | 
16:23:06 GMT-0500 (GMT-05:00)2020-8-21 | ERROR| Error al cargar un recurso | data:{"status":404,"error":{"message":"Not found"}} | 
16:23:06 GMT-0500 (GMT-05:00)2020-8-21 | ERROR| Error al cargar un recurso | data:{"status":404,"error":{"message":"Not found"}} | 
16:23:06 GMT-0500 (GMT-05:00)2020-8-21 | ERROR| Error al cargar un recurso | data:{"status":404,"error":{"message":"Not found"}} | 
16:23:38 GMT-0500 (GMT-05:00)2020-8-21 | ERROR| Error al cargar un recurso | data:{"status":404,"error":{"message":"Not found"}} | 
16:23:38 GMT-0500 (GMT-05:00)2020-8-21 | ERROR| Error al cargar un recurso | data:{"status":404,"error":{"message":"Not found"}} | 
16:23:38 GMT-0500 (GMT-05:00)2020-8-21 | ERROR| Error al cargar un recurso | data:{"status":404,"error":{"message":"Not found"}} | 
16:23:38 GMT-0500 (GMT-05:00)2020-8-21 | ERROR| Error al cargar un recurso | data:{"status":404,"error":{"message":"Not found"}} | 
16:23:38 GMT-0500 (GMT-05:00)2020-8-21 | ERROR| Error al cargar un recurso | data:{"status":404,"error":{"message":"Not found"}} | 
16:17:44 GMT-0500 (GMT-05:00)2020-8-25 | ERROR| Error al cargar un recurso | data:{"status":404,"error":{"message":"Not found"}} | 
16:17:49 GMT-0500 (GMT-05:00)2020-8-25 | ERROR| Error al cargar un recurso | data:{"status":404,"error":{"message":"Not found"}} | 
16:17:54 GMT-0500 (GMT-05:00)2020-8-25 | ERROR| Error al cargar un recurso | data:{"status":404,"error":{"message":"Not found"}} | 
